"","lv","Annotation","cell_type","value","sample","patient","Groups"
"0","0","stroma-macrophages (M1=M2)","B cells","0.013157894736842105","reg001","1","1"
"1","0","stroma-macrophages (M1=M2)","CD4+ T cells","0.003289473684210526","reg001","1","1"
"2","0","stroma-macrophages (M1=M2)","CD8+ T cells","0.0625","reg001","1","1"
"3","0","stroma-macrophages (M1=M2)","CLA+ leukocytes","0.006578947368421052","reg001","1","1"
"4","0","stroma-macrophages (M1=M2)","Langerhans cells","0.019736842105263157","reg001","1","1"
"5","0","stroma-macrophages (M1=M2)","Tregs","0.039473684210526314","reg001","1","1"
"6","0","stroma-macrophages (M1=M2)","epithelium","0.003289473684210526","reg001","1","1"
"7","0","stroma-macrophages (M1=M2)","lymphatics","0.003289473684210526","reg001","1","1"
"8","0","stroma-macrophages (M1=M2)","macrophages (M1=M2)","0.17763157894736842","reg001","1","1"
"9","0","stroma-macrophages (M1=M2)","macrophages (M1>M2)","0.17434210526315788","reg001","1","1"
"10","0","stroma-macrophages (M1=M2)","macrophages (M2>M1)","0.046052631578947366","reg001","1","1"
"11","0","stroma-macrophages (M1=M2)","mast cells","0.006578947368421052","reg001","1","1"
"12","0","stroma-macrophages (M1=M2)","nerves","0.01644736842105263","reg001","1","1"
"13","0","stroma-macrophages (M1=M2)","neutrophils","0.006578947368421052","reg001","1","1"
"14","0","stroma-macrophages (M1=M2)","plasma cells","0.0","reg001","1","1"
"15","0","stroma-macrophages (M1=M2)","stroma","0.3059210526315789","reg001","1","1"
"16","0","stroma-macrophages (M1=M2)","tumor cells","0.08552631578947369","reg001","1","1"
"17","0","stroma-macrophages (M1=M2)","tumor cells, intraepithelial","0.023026315789473683","reg001","1","1"
"18","0","stroma-macrophages (M1=M2)","vasculature","0.006578947368421052","reg001","1","1"
"19","1","stroma-vasculature","B cells","0.0038022813688212928","reg001","1","1"
"20","1","stroma-vasculature","CD4+ T cells","0.0038022813688212928","reg001","1","1"
"21","1","stroma-vasculature","CD8+ T cells","0.07984790874524715","reg001","1","1"
"22","1","stroma-vasculature","CLA+ leukocytes","0.015209125475285171","reg001","1","1"
"23","1","stroma-vasculature","Langerhans cells","0.0038022813688212928","reg001","1","1"
"24","1","stroma-vasculature","Tregs","0.049429657794676805","reg001","1","1"
"25","1","stroma-vasculature","epithelium","0.0","reg001","1","1"
"26","1","stroma-vasculature","lymphatics","0.0","reg001","1","1"
"27","1","stroma-vasculature","macrophages (M1=M2)","0.053231939163498096","reg001","1","1"
"28","1","stroma-vasculature","macrophages (M1>M2)","0.09885931558935361","reg001","1","1"
